Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Furina,90,32667,1195,696,23,104.5,99.6,264.1,Hydro,46.6,214.5,Golden Troupe,HP,4780,40.4,ATK:14 | Crit Rate:13.6 | HP%:10.5 | Crit DMG:13.2,Golden Troupe,ATK,311,36.6,HP%:16.3 | Crit Rate:7.8 | ER%:4.5 | Crit DMG:21,Golden Troupe,HP%,46.6,48.1,EM:23 | Crit Rate:9.3 | HP:239 | Crit DMG:29.5,Thundersoother,Hydro DMG%,46.6,47.4,Crit Rate:13.6 | ATK:19 | ATK%:5.8 | Crit DMG:20.2,Golden Troupe,Crit Rate,31.1,42.0,HP:209 | Crit DMG:42 | HP%:5.8 | ATK:19
Neuvillette,90,42431,1188,652,21,100.0,56.3,249.6,Hydro,46.6,175.6,Marechaussee Hunter,HP,4780,45.8,Crit DMG:14 | DEF%:6.6 | ATK%:4.1 | Crit Rate:15.9,Marechaussee Hunter,ATK,311,20.2,ATK%:5.3 | Crit Rate:7.4 | Crit DMG:5.4 | HP%:26.2,Blizzard Strayer,HP%,46.6,44.4,Crit DMG:21.8 | Crit Rate:11.3 | ATK%:5.3 | HP:239,Marechaussee Hunter,Hydro DMG%,46.6,27.2,Crit DMG:12.4 | Crit Rate:7.4 | HP%:15.2 | DEF%:6.6,Marechaussee Hunter,HP%,46.6,38.0,Crit Rate:9.3 | Crit DMG:19.4 | EM:21 | ATK:18
Xilonen,90,19532,1208,3233,68,129.8,62.9,130.8,N/A,0.0,134.2,Scroll of the Hero of Cinder City,HP,4780,32.6,Crit Rate:6.2 | Crit DMG:20.2 | ATK:35 | DEF%:7.3,Scroll of the Hero of Cinder City,ATK,311,18.6,Crit Rate:5.8 | ER%:20.7 | DEF%:5.1 | Crit DMG:7,Scroll of the Hero of Cinder City,DEF%,58.3,38.8,Crit Rate:8.9 | Crit DMG:21 | EM:44 | ATK:18,Scroll of the Hero of Cinder City,DEF%,58.3,11.6,HP:538 | ATK:27 | Crit Rate:5.8 | HP%:10.5,Golden Troupe,Crit Rate,31.1,32.6,HP%:4.1 | EM:23 | Crit DMG:32.6 | ER%:9.1
