Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Furina,90,34094,1149,735,0,100.0,101.2,256.3,Hydro,46.6,209.9,Golden Troupe,HP,4780,35.8,DEF:16 | Crit Rate:7.4 | Crit DMG:21 | HP%:14.6,Golden Troupe,ATK,311,42.0,HP:209 | HP%:9.9 | Crit DMG:14 | Crit Rate:14,Golden Troupe,HP%,46.6,49.0,HP:239 | DEF:23 | Crit DMG:5.4 | Crit Rate:21.8,Golden Troupe,Hydro DMG%,46.6,41.1,Crit Rate:2.7 | Crit DMG:35.7 | HP%:9.9 | ATK%:4.7,Marechaussee Hunter,Crit Rate,31.1,42.0,Crit DMG:42 | ATK:16 | HP:269 | HP%:5.8
Raiden Shogun,90,19958,2761,858,21,277.1,83.9,170.4,Electro,141.7,216.20000000000002,Emblem of Severed Fate,HP,4780,40.4,ER%:5.8 | Crit DMG:21.8 | ATK%:9.9 | Crit Rate:9.3,Emblem of Severed Fate,ATK,311,49.0,Crit Rate:17.1 | HP:239 | Crit DMG:14.8 | DEF%:5.8,Archaic Petra,ER%,51.8,45.9,Crit DMG:18.7 | Crit Rate:13.6 | ATK:14 | HP%:5.8,Emblem of Severed Fate,ATK%,46.6,44.4,DEF:23 | Crit DMG:28.8 | ER%:12.3 | Crit Rate:7.8,Emblem of Severed Fate,Crit Rate,31.1,36.5,HP%:9.9 | Crit DMG:36.5 | ATK:19 | EM:21
Columbina,90,37042,962,547,199,118.1,70.0,273.4,N/A,0.0,144.7,Night of the Sky's Unveiling,HP,4780,31.9,Crit Rate:6.6 | Crit DMG:18.7 | HP%:4.7 | DEF:32,Night of the Sky's Unveiling,ATK,311,35.8,Crit DMG:21.8 | HP:269 | ER%:12.3 | Crit Rate:7,Night of the Sky's Unveiling,HP%,46.6,27.2,Crit Rate:7.4 | Crit DMG:12.4 | EM:37 | HP:478,Night of the Sky's Unveiling,HP%,46.6,42.8,Crit DMG:20.2 | ATK:14 | Crit Rate:11.3 | ER%:5.8,Obsidian Codex,Crit DMG,62.2,7.0,HP%:14.6 | HP:299 | Crit Rate:3.5 | EM:82
Arlecchino,90,18647,2185,939,40,105.8,78.4,234.5,Pyro,46.6,186.3,Fragment of Harmonic Whimsy,HP,4780,45.8,DEF%:5.8 | Crit DMG:32.6 | Crit Rate:6.6 | ATK:14,Fragment of Harmonic Whimsy,ATK,311,38.1,Crit DMG:31.9 | DEF:19 | Crit Rate:3.1 | ATK%:9.9,Fragment of Harmonic Whimsy,ATK%,46.6,31.0,DEF%:14.6 | Crit Rate:12.4 | Crit DMG:6.2 | HP%:5.8,Noblesse Oblige,Pyro DMG%,46.6,45.0,ER%:5.8 | ATK:19 | Crit DMG:13.2 | Crit Rate:15.9,Fragment of Harmonic Whimsy,Crit DMG,62.2,26.4,ATK:14 | Crit Rate:13.2 | ATK%:5.3 | EM:40
Yelan,90,26232,1149,566,0,197.0,93.0,243.9,Hydro,46.6,181.1,Emblem of Severed Fate,HP,4780,32.6,ER%:5.8 | Crit DMG:27.2 | HP%:9.9 | Crit Rate:2.7,Emblem of Severed Fate,ATK,311,36.5,ER%:14.9 | Crit DMG:29.5 | HP%:4.7 | Crit Rate:3.5,Golden Troupe,ER%,51.8,42.0,Crit Rate:13.6 | DEF:19 | ATK%:4.7 | Crit DMG:14.8,Emblem of Severed Fate,Hydro DMG%,46.6,42.0,ATK:16 | Crit Rate:17.9 | HP:239 | Crit DMG:6.2,Emblem of Severed Fate,Crit Rate,31.1,28.0,HP%:14.6 | Crit DMG:28 | HP:239 | ER%:4.5
Citlali,90,17000,944,1083,913,174.1,16.7,62.4,N/A,0.0,35.800000000000004,Instructor,HP,3571,0.0,EM:35 | DEF%:15.7 | ATK:16 | DEF:13,Instructor,ATK,232,0.0,ER%:13.5 | DEF%:4.7 | ATK%:4.2 | DEF:13,Golden Troupe,ER%,51.8,29.6,Crit Rate:11.7 | EM:40 | Crit DMG:6.2 | DEF:65,Instructor,EM,139.0,6.2,ER%:8.8 | HP:359 | HP%:4.2 | Crit DMG:6.2,Instructor,EM,139.0,0.0,DEF:33 | HP:406 | DEF%:5.3 | HP%:4.7
Yae Miko,90,16539,2142,697,21,116.8,98.1,234.3,N/A,0.0,203.8,Golden Troupe,HP,4780,41.9,Crit Rate:6.2 | HP%:4.7 | ER%:5.8 | Crit DMG:29.5,Golden Troupe,ATK,311,45.2,EM:21 | Crit Rate:15.6 | Crit DMG:14 | DEF%:5.1,Gladiator's Finale,ATK%,46.6,48.2,DEF:21 | ER%:5.2 | Crit DMG:27.2 | Crit Rate:10.5,Golden Troupe,ATK%,46.6,39.7,Crit Rate:10.5 | HP:299 | Crit DMG:18.7 | DEF:16,Golden Troupe,Crit Rate,31.1,28.8,Crit DMG:28.8 | DEF:63 | HP%:5.8 | ER%:5.8
