Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Furina,100,35332,1204,788,21,109.7,98.5,261.8,Hydro,46.6,209.99999999999997,Golden Troupe,HP,4780,43.5,HP%:9.3 | Crit DMG:15.5 | DEF%:5.8 | Crit Rate:14,Finale of the Deep Galleries,ATK,311,43.6,Crit DMG:13.2 | HP%:9.9 | ER%:4.5 | Crit Rate:15.2,Golden Troupe,HP%,46.6,49.8,EM:21 | ER%:5.2 | Crit DMG:21.8 | Crit Rate:14,Golden Troupe,Hydro DMG%,46.6,31.1,Crit Rate:10.1 | Crit DMG:10.9 | ATK%:4.7 | HP%:15.2,Golden Troupe,Crit DMG,62.2,42.0,HP%:4.1 | Crit Rate:21 | HP:209 | ATK:14
Skirk,90,17197,2247,878,61,122.0,71.4,226.0,Cryo,61.6,163.8,Finale of the Deep Galleries,HP,4780,32.6,Crit Rate:6.6 | Crit DMG:19.4 | ATK%:8.7 | DEF%:6.6,Finale of the Deep Galleries,ATK,311,37.3,ATK%:11.1 | ER%:6.5 | Crit Rate:12.8 | Crit DMG:11.7,Finale of the Deep Galleries,ATK%,46.6,34.9,ER%:10.4 | Crit Rate:5.8 | EM:23 | Crit DMG:23.3,Finale of the Deep Galleries,Cryo DMG%,46.6,33.4,ER%:5.2 | Crit Rate:6.2 | Crit DMG:21 | ATK%:9.3,Emblem of Severed Fate,Crit DMG,62.2,25.6,EM:37 | Crit Rate:12.8 | DEF:19 | ATK%:11.7
Ineffa,90,18496,2223,870,63,145.2,92.6,215.6,N/A,0.0,174.09999999999997,Silken Moon's Serenade,HP,4780,37.4,EM:19 | Crit DMG:13.2 | Crit Rate:12.1 | DEF%:5.1,Silken Moon's Serenade,ATK,311,34.2,Crit DMG:28 | EM:44 | ER%:10.4 | Crit Rate:3.1,Silken Moon's Serenade,ATK%,46.6,36.5,Crit Rate:6.2 | ER%:4.5 | HP%:4.1 | Crit DMG:24.1,Fragment of Harmonic Whimsy,ATK%,46.6,45.8,ATK:18 | Crit Rate:15.9 | HP%:4.7 | Crit DMG:14,Silken Moon's Serenade,Crit Rate,31.1,20.2,Crit DMG:20.2 | ER%:10.4 | ATK:27 | ATK%:5.8
Arlecchino,90,18152,2337,909,105,104.5,95.5,194.1,Pyro,46.6,180.3,Fragment of Harmonic Whimsy,HP,4780,41.2,Crit Rate:10.1 | DEF%:13.1 | ER%:4.5 | Crit DMG:21,Fragment of Harmonic Whimsy,ATK,311,49.8,DEF:21 | Crit DMG:28.8 | HP:269 | Crit Rate:10.5,Fragment of Harmonic Whimsy,ATK%,46.6,39.6,EM:42 | Crit DMG:21 | Crit Rate:9.3 | DEF:23,Long Night's Oath,Pyro DMG%,46.6,34.2,ATK%:15.2 | ATK:18 | Crit Rate:7.4 | Crit DMG:19.4,Fragment of Harmonic Whimsy,Crit Rate,31.1,15.5,ATK%:16.3 | Crit DMG:15.5 | EM:63 | ATK:16
Columbina,90,39560,1052,622,80,114.9,74.0,262.6,N/A,0.0,161.79999999999998,Set_15043,HP,4780,28.0,Crit DMG:14 | ATK:37 | Crit Rate:7 | HP%:14.6,Set_15043,ATK,311,42.8,Crit Rate:14 | DEF%:5.8 | ER%:9.7 | Crit DMG:14.8,Set_15043,HP%,46.6,33.4,Crit DMG:19.4 | DEF:51 | ATK%:5.8 | Crit Rate:7,Set_15043,HP%,46.6,29.6,ATK%:4.7 | HP:807 | Crit Rate:7.8 | Crit DMG:14,Fragment of Harmonic Whimsy,Crit DMG,62.2,28.0,HP%:13.4 | DEF%:5.1 | Crit Rate:14 | ER%:5.2
Citlali,83,17807,1213,855,1077,181.0,15.5,73.3,N/A,0.0,44.3,Scroll of the Hero of Cinder City,HP,4780,0.0,ATK:18 | ER%:16.8 | EM:37 | ATK%:10.5,Scroll of the Hero of Cinder City,ATK,311,7.8,Crit Rate:3.9 | HP%:10.5 | HP:299 | ER%:27.9,Scroll of the Hero of Cinder City,EM,187.0,5.4,Crit Rate:2.7 | ATK:31 | ER%:13 | DEF:83,Golden Troupe,EM,187.0,23.3,ATK%:11.1 | Crit DMG:15.5 | ER%:23.3 | Crit Rate:3.9,Scroll of the Hero of Cinder City,EM,187.0,7.8,Crit DMG:7.8 | ATK:49 | DEF:46 | HP:508
Clorinde,90,18274,2277,998,0,115.5,77.8,236.1,Electro,46.6,167.1,Fragment of Harmonic Whimsy,HP,4780,31.9,ATK%:9.9 | ER%:5.2 | Crit DMG:31.9 | DEF%:7.3,Fragment of Harmonic Whimsy,ATK,311,25.6,ER%:10.4 | ATK%:14 | Crit Rate:6.2 | Crit DMG:13.2,Fragment of Harmonic Whimsy,ATK%,46.6,38.0,DEF:42 | Crit Rate:8.9 | HP:239 | Crit DMG:20.2,Fragment of Harmonic Whimsy,Electro DMG%,46.6,36.6,Crit Rate:7.4 | DEF:42 | DEF%:7.3 | Crit DMG:21.8,Heart of Depth,Crit Rate,31.1,35.0,HP:299 | ATK%:5.8 | Crit DMG:35 | DEF:16
Durin,81,19359,1411,839,128,229.6,44.5,100.8,N/A,0.0,29.199999999999996,Instructor,HP,3571,6.2,ATK:25 | DEF:35 | Crit Rate:3.1 | ER%:9.8,Instructor,ATK,232,0.0,HP%:4.7 | HP:454 | EM:19 | ER%:8.8,Instructor,ER%,38.7,5.0,Crit Rate:2.5 | HP:406 | ATK%:9.3 | ATK:16,Instructor,ATK%,34.8,5.6,HP%:8.4 | DEF:33 | Crit Rate:2.8 | EM:30,Silken Moon's Serenade,Crit Rate,31.1,12.4,HP%:15.2 | Crit DMG:12.4 | ATK:16 | ER%:11
