Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,100,18814,2652,919,33,100.0,83.1,228.9,Pyro,15.0,190.4,Heart of Depth,HP,4780,35.0,DEF:19 | ATK%:15.7 | Crit Rate:13.6 | Crit DMG:7.8,Blizzard Strayer,ATK,311,45.9,Crit Rate:10.5 | ATK%:5.3 | DEF:23 | Crit DMG:24.9,Heart of Depth,ATK%,46.6,47.4,Crit DMG:27.2 | ATK:16 | Crit Rate:10.1 | EM:16,Thundering Fury,Electro DMG%,46.6,39.6,ATK%:9.9 | ATK:16 | Crit DMG:14 | Crit Rate:12.8,Thundering Fury,Crit Rate,31.1,22.5,ATK%:20.4 | Crit DMG:22.5 | EM:16 | DEF:21
Columbina,90,36250,1101,677,124,116.2,80.6,247.0,N/A,0.0,159.39999999999998,Set_15043,HP,4780,28.8,DEF:23 | Crit Rate:10.9 | ATK%:15.7 | Crit DMG:7,Set_15043,ATK,311,32.6,DEF%:14.6 | Crit Rate:6.6 | Crit DMG:19.4 | HP:239,Set_15043,HP%,46.6,35.0,Crit Rate:14 | Crit DMG:7 | ER%:5.2 | EM:44,Pale Flame,HP%,46.6,38.8,ER%:5.8 | Crit Rate:12.8 | DEF%:12.4 | Crit DMG:13.2,Set_15043,Crit DMG,62.2,24.2,HP%:9.3 | Crit Rate:12.1 | ER%:5.2 | ATK%:8.2
Mavuika,90,17844,2291,891,56,106.5,66.6,245.4,Pyro,46.6,195.9,Obsidian Codex,HP,4780,44.3,Crit Rate:3.1 | ATK:16 | ATK%:11.7 | Crit DMG:38.1,Thundering Fury,ATK,311,38.8,DEF:42 | ATK%:5.3 | Crit Rate:5.4 | Crit DMG:28,Obsidian Codex,ATK%,46.6,49.0,Crit DMG:21.8 | EM:23 | DEF%:7.3 | Crit Rate:13.6,Obsidian Codex,Pyro DMG%,46.6,42.0,Crit Rate:17.5 | Crit DMG:7 | HP%:4.1 | ATK%:4.7,Obsidian Codex,Crit DMG,62.2,21.8,EM:33 | Crit Rate:10.9 | ER%:6.5 | ATK%:10.5
